,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis,shapiro_p
temp_mean,2339.0,30.000223424018326,0.014418600988981652,29.953045541586445,29.99065921570527,29.999654984990535,30.009481095352623,30.050262335881985,-0.00914387669582156,-0.032849981487290236,0.05655490829561518
temp_min,2339.0,29.93289278936588,0.02598560165316274,29.831913864646022,29.92378153941172,29.92378153941172,29.946763221075685,29.992744394509828,-0.3547030261484283,0.2013904015112109,1.9935385897359932e-32
temp_max,2339.0,30.0679933696647,0.02621888127718062,29.992744394509828,30.03874940501709,30.061760883079785,30.084778361129167,30.176908545523872,0.29155930206934305,0.06695351187852339,9.939611602275198e-32
ph_mean,2339.0,5.0108527271060135,0.15206397228878077,4.732556152434452,4.8987411056376615,4.985548596096266,5.0982373497586515,6.231316576144163,1.1481906171466907,3.070254902018783,6.006890403410252e-30
ph_min,2339.0,4.955108459752791,0.14027008434781318,4.682155797774461,4.84561640748254,4.927346712336573,5.036320452141957,5.921732088060689,0.8667218405008592,1.3052411978185856,7.606340169787463e-26
ph_max,2339.0,5.06875865921314,0.17568204310215085,4.763886102628501,4.940968429812249,5.036320452141957,5.158915909423008,7.202173530773937,2.4733232031618444,19.81442814577266,1.4346032696656275e-40
rpm_mean,2339.0,999.9961981497121,5.166017944664415,982.739552525306,996.4631548560599,999.887337398046,1003.6126673637366,1018.1380170752676,0.02511027530432413,-0.0611196310851998,0.8776489224767536
rpm_min,2339.0,978.3641828054713,8.562291732210586,946.2923255980568,972.8332232403168,978.7428520798878,984.3118728830417,1002.1533809044606,-0.24339866878165684,2.0298639841431765e-05,7.912391851675468e-06
rpm_max,2339.0,1021.6255681224978,8.699682489465731,997.8437854141994,1015.3570627775966,1021.0497836298372,1027.11803726147,1062.193965480532,0.44701908819130387,0.46526419214895576,2.466753110182853e-12
heater_pwm,2339.0,0.4630718990315748,0.0031146063030179616,0.4527729702908869,0.4609537179696792,0.4630361447952979,0.4651665870258501,0.4737055949132706,0.006729796239824437,-0.014827925982525691,0.9651873966719846
motor_pwm,2339.0,0.8499981490496613,0.0025418381543190244,0.8422188587089553,0.848301047406447,0.8499607107524596,0.8517055929956863,0.8587341117043508,0.036079008978561145,-0.030206749639539954,0.8828987525488637
acid_pwm,2339.0,0.0025143501834208343,0.0052326513752782395,0.0,0.0,9.799375053523097e-06,0.00225997717137755,0.04403859344064,2.978642126453907,10.154881990742718,7.741720385886059e-61
base_pwm,2339.0,0.002116297985842983,0.0036269006157766885,0.0,0.0,0.0001659283410272,0.0027265363255918,0.0229684623043507,2.237905728330293,5.013066790533127,2.215467792271373e-56
acid_dose_l,2339.0,4.52428925089296e-05,2.0558888358409338e-05,0.0,3.073241846080284e-05,4.3262240497472374e-05,5.7767309807874766e-05,0.0001228884655153,0.5062220154002852,0.08635712853432453,3.4914921745674464e-16
base_dose_l,2339.0,4.504262146334233e-05,1.981884173333543e-05,0.0,3.064284029277808e-05,4.371315522150523e-05,5.7233746411988125e-05,0.0001496452719019,0.5331500686167124,0.48262544462680346,7.40775797907385e-16
temp_dev,2339.0,0.00022342401832419671,0.014418600988981652,-0.0469544584135555,-0.009340784294726845,-0.00034501500946504393,0.00948109535262276,0.050262335881985365,-0.009143876695380845,-0.03284998148729512,0.05655490829561518
ph_dev,2339.0,0.010852727106014043,0.1520639722887808,-0.2674438475655476,-0.10125889436233892,-0.014451403903733784,0.09823734975865106,1.2313165761441631,1.1481906171466791,3.0702549020187644,6.006890403410252e-30
rpm_dev,2339.0,-0.003801850287815402,5.166017944664415,-17.260447474694047,-3.53684514394007,-0.11266260195395716,3.612667363736591,18.138017075267612,0.025110275304266585,-0.06111963108520113,0.8776489224767536
